id,source,text
1,"Людмила Улицкая, 'Медея и её дети', 1996, НКРЯ","Нет здесь никаких такси, всю жизнь по ночам пешком ходим, два часа '''ходу'''."
2,"Арсентий Теркель, 'Соловки и петроглифы' // За рулём, 2004, НКРЯ",Теплоходом до Соловков два часа '''ходу''' по Белому морю.
3,"Кнорре Фёдор, 'Орехов', 1968, НКРЯ","И водитель ведет машину быстро, всем телом чувствуя ее '''ход''', слыша работу мотора, чувствуя, не скользко ли задним колесам, ощупывая взглядом каждую залитую водой колею черной глянцевитой дороги, прежде чем в нее, расплескивая воду, ворвутся передние колеса."
4,"Александр Новиков, Гронский Дмитрий, 'Двое в лодке' // Автопилот, 2002, НКРЯ","Кстати, сама шкала очень напоминала рубильник в капитанской рубке, которым регулировался '''ход''' корабля, разве что надписи low не было."
5,"Виктор Пелевин, 'Желтая стрела', 1993, НКРЯ",Поезд тронулся и стал медленно набирать '''ход'''.
6,"Владимир Горбачев, 'Концепции современного естествознания', 2003, НКРЯ","Поскольку самолет находился на большой высоте над поверхностью Земли и гравитация там меньше в 1/r2 раз и учитывая изменение скорости перемещения часов на самолетах в одну и другую сторону, было установлено, что гравитация изменяет '''ход''' часов."
7,"Валентин Распутин, 'Последний срок', 1970, НКРЯ","Надя достала машинку, поставила ее на тот же стол, за которым сидели, и Люся сначала испробовала ее '''ход''' на тряпке."
8,"М.Э. Боцманова, Триггер Р.Д., 'Изучение психологии подростка в лаборатории Д.Б. Эльконина' // Вопросы психологии, 2004, НКРЯ","Каждый день, сидя в классе, мы записывали практически весь '''ход''' урока: что спрашивали учителя, что и как отвечал ученик, как общался с другими ребятами или учителем, какие задавал вопросы и кому."
9,"И. А. Архипова, 'Музыка жизни', 1996, НКРЯ","Даже незаметный статист может повлиять на '''ход''' спектакля, если не будет чётко и вовремя делать то, что должен делать."
10,"Зелинский Н.Д., 'Исследование явлений стереоизомерии среди насыщенных углеродистых соединений', 1891, НКРЯ","Словом, несмотря на несколько измененный '''ход''' реакции, она идёт, тем не менее, в общем таким же точно образом, как и при α-бромпропионовом эфире."
11,"Чернов В.М., 'Записки социалиста-революционера', 1922, НКРЯ","Так неопытный новичок с трепетом берётся за шахматную фигуру, чтобы ответить на непонятный '''ход''' противника-профессионала, намекающий на какую-то готовящуюся ловушку."
12,"Анастасия Матвеева, 'Кремль и есть правительство' // Газета, 2003, НКРЯ","Но не судит строго коллег, затеявших историю с вотумом недоверия: «Это нормальный предвыборный '''ход''', но организован он крайне нелогично»."
13,"Рекламные гуляния в Северной Пальмире, Рекламный мир, 2003, НКРЯ",Сергей Пилатов придумал для церемонии отличный '''ход''': драматический спектакль «Сирано де Бержерак» постоянно прерывался «рекламными вставками-награждениями».
14,"'Козлята в лабиринте' // Трамвай, 1990, НКРЯ",Затем нужно передать козлёнка товарищу - теперь будет его '''ход'''.
15,"Людмила Улицкая., 'Медея и её дети', 1996, НКРЯ","По её понятиям, после их ночного свидания следующий '''ход''' был за ним."
16,"Сергей Юрский, 'Бумажник Хофманна', 1993, НКРЯ","Хоть и темно - малая сцена сейчас не работает, - но там есть '''ход''' налево."
17,"Игорь Вольский, 'Пропасть им. Пантюхина: будет ли новый мировой рекорд?', 1994, НКРЯ","Дойдя до развилки в Галерее Григоряна, свернули вправо, проползли узкий наклонный '''ход''', преодолели полусифон и вышли в Крымский '''ход'''."
18,"'XXI век: оружие, военная техника, средства обеспечения' // Зарубежное военное обозрение, 2004, НКРЯ","Специалисты компании-разработчика считают, что машина «Карвер» будет проста в обслуживании и эксплуатации (например, чтобы снять электродвигатель, достаточно отвернуть всего два болта), а при необходимости гусеничный '''ход''' можно будет сменить на колёсный."
19,"Н. Х. Виленская, В. Н. Клычин, 'На лыжах по окрестностям Ленинграда', 1930, НКРЯ","Имеется кроличатник, где живет до двух с половиной тысяч кроликов, по преимуществу породы «Великан Белый» и «Фландры»."
20,"Влада Валеева, 'Скорая помощь', 2002, НКРЯ","Однако Кравченко оставался неподвижен, лицо его, как при крапивнице, пошло красными пятнами, верхняя {{выдел|губа}} вздёрнулась в нехорошей улыбке, обнажив два крупных, торчащих немного вперед, верхних клыка."
21,"В. Г. Короленко, 'Соколинец', 1885, НКРЯ","{{выдел|Губы}} его были крепко сжаты, но нижняя {{выдел|губа}} заметно вздрагивала."
22,"Колпакова Н. П., 'Терский берег', 1937, НКРЯ","У нас берега неровны, все наволоки да {{выдел|губы}}. Хендалакша-{{выдел|губа}}, Риндалакша-{{выдел|губа}}, Пан-{{выдел|губа}}… Там вода тепла, неглубока; маловодье."
23,"Николай Климонтович, 'Далее{{-}}везде', 2001, НКРЯ","Видишь ли, дисциплины здесь нет никакой, это ж не строевые войска, где за невыполнение приказа сажают на {{выдел|губу}}."
24,"Аверченко, 'Искусство рассказывать анекдоты'","Все женщины города ласкали и целовали его, мужчины угощали водкой и папиросами лучших фабрик, а начальство повыгнало его по службе так, как в 1923 году повышался {{выдел|доллар}} в Германии."
25,"Л. А. Чарская, 'Король с раскрашенной картинки', 1912, НКРЯ","Но как они ни старались, им не удалось разобрать ни одного слова, несмотря на яркий {{выдел|свет}} фонаря: они были неграмотны и не умели читать."
26,"Л. Н. Андреев, 'Вор', 1904, НКРЯ","На площадке темно, и нигде нет намёка на {{выдел|свет}}, а то, что проносится перед глазами, бесформенно, мутно и непонятно."
27,"Даниил Гранин, 'Искатели', 1954, НКРЯ","Чтобы типография могла отпечатать план ГОЭЛРО, пришлось выключить {{выдел|свет}} даже в правительственных зданиях Москвы, - такова была в 1920 году мощность московских электростанций."
28,"В. П. Катаев, 'Отец', 1922-1925, НКРЯ",Электрическая станция не работала. В домах не было {{выдел|света}}.
29,"Андрей Дмитриев, 'Призрак театра' // Знамя, 2003, НКРЯ","В морге пахло, и Зеленов, патологоанатом, сказал, что холодильники текут, поскольку снова отключили {{выдел|свет}}."
30,Даль,Лови {{выдел|паук}} мух — покеле ноги не ощипаны!
31,Горький,"— Пососал ты из меня крови, высосал и вон… Ах ты… {{выдел|паук}}!"
32,"Р. Рождественский, 'До твоего прихода'","Да отсохнет {{выдел|язык}} у колокола, если он трезвонит зазря!"
