id,word
1,Ход.
2,Работа.
3,Движение.
4,Развитие.
5,Курс.
6,Право хода.
7,Очередь.
8,Кролик.
9,Заяц.
10,Косой.
11,Серый.
12,Безбилетник.
13,Губа.
14,— гриба.
15,Залив.
16,Бухта.
17,Трутовик.
19,Гауптвахта.
20,Доллар.
21,Бакс.
22,Свет.
23,Ток.
24,Электричество.
25,Алжир.
26,Паук.
27,Устар.: мизгирь.
28,Муховор.
29,Сетник.
30,Кошель.
31,Тенетник.
32,Эксплуататор.
33,Мироед.
34,Язык.
35,Ухо.
36,Слух.
37,Проушина.
38,Слон.
39,Офицер.
40,Животное.
41,Зверь (прост.).
42,Зверь.
43,Тварь.
44,Скотина.
45,Стена.
46,Вода.
47,Влага.
48,H₂O
49,HOH
50,Оксид водорода.
51,Окись водорода.
52,Дигидрид кислорода.
53,Гидроксид водорода.
54,Гидроокись водорода.
55,Дигидромоноксид.
56,Напиток.
57,Содовая.
58,Газировка.
59,Пойло (разг.
60,Пренебр.).
61,Акватория.
62,Источник.
63,Ключ.
64,Лечение.
65,Пустая болтовня.
66,Плач.
67,Рыдания.
68,Околоплодная жидкость.
69,Семья.
70,Семейство.
71,Клан.
72,Фамилия.
73,Группировка.
74,Частичн.
75,Крим.: клан.
76,Радикал.
78,Оксид.
79,Окисел.
80,Окись.
81,Мощность.
82,Инфинитив.
83,Интерфикс.
84,Анион.
85,Отрицательный ион.
86,Протон.
87,Водород.
88,Протий.
89,Ноль.
90,Нуль.
92,Ничто.
93,Пустота.
94,Кислород.
95,Мажор.
96,Дур.
97,Гомосексуалист.
98,Гомосексуал.
99,Педераст.
100,Гомосек.
101,Гомик.
102,Категория.
103,Понятие.
104,Концепт.
105,Класс.
106,Группа.
107,Сорт.
108,Вид.
109,Дорога.
110,Путь.
111,Траектория.
112,Поездка.
113,Путешествие.
114,Следование.
115,Направление.
116,Маршрут.
117,Формат.
118,Бумага.
119,Документ.
120,Шоссе.
121,Автотрасса.
122,Трасса.
123,Автобан.
124,Шоссейная дорога.
126,Автотрасса.
127,Автострада.
128,Автомагистраль.
129,Трассер.
130,Автомобиль.
131,Машина.
132,Тачка.
133,Алфавит.
134,Азбука.
136,Абевега.
137,Букварь.
138,Азы.
139,Основы.
141,Ассоциация.
142,Банк.
143,Хранилище.
144,Напряжение.
145,Сосредоточение.
146,Напряжённость.
147,Кружок.
148,Круг.
149,Общество.
150,Общественность.
151,Союз.
152,Организация.
153,Компания.
154,Фирма.
155,Предприятие.
156,Товарищество.
157,Объединение.
158,Соединение.
159,Слияние.
160,Составление.
161,Интеграция.
162,Агрегация.
